"Accession","Description","Sample.a.buffer2","Sample.b.buffer2","Sample.c.buffer2","Sample.d.buffer2","Control.a.buffer2","Control.b.buffer2","Control.c.buffer2","Control.d.buffer2","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"11","H0YFD6","Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",6802123.20898438,12908739.0527344,6753618.64453125,3862020.7890625,394638341.449219,468744726.036133,364158097.732422,262256549.951172,0.0169442888991669,0.0268008848443614,0.018208156675395,0.0145124061741348,0.0175762227872809,6777870.92675781,379398219.59082,25.8670311729032
"12","P02533","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",7941946.54418945,7577967.97851563,13979892.5517578,7078299.7265625,169927634.452148,104632257.836426,116031646.457031,85402930.6142578,0.0446503921564474,0.0675336665930367,0.107528090647498,0.0765376898693595,0.0720356782311981,7759957.26135254,110331952.146729,19.6026698147086
"13","P08727","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",11918308.6191406,10410129.3408203,22530870.3398438,12300459.4921875,102819422.257813,71566494.4160156,126199572.421875,94007420.125,0.103874362235052,0.126988998372261,0.151487953114888,0.115705999747913,0.121347499060087,12109384.0556641,98413421.1914065,14.5700443846582
"14","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",2019080.9921875,1750655.76171875,5388407.9609375,2561578.40234375,6877754.078125,5175961.48242188,16557001.828125,3481514.65234375,0.226943736309656,0.252743251144657,0.245536903285491,0.42388531488139,0.249140077215074,2290329.69726562,6026857.78027344,3.25546594092693
"15","P08779","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",2384274.96875,4559010.93554688,2423451.296875,1730483.43945313,23927373.5546875,11215327.9921875,11518103.953125,9217487.96191406,0.0906167079051003,0.289014389536873,0.173829336355784,0.158064300317502,0.165946818336643,2403863.1328125,11366715.9726562,10.0081355520522
"16","P13647","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",2641812.171875,4026352.0625,3099522.796875,1220684.6875,129984771.527344,85902477.3476563,88561985.1621094,62758917.1582031,0.0199191753130452,0.0447726506495066,0.033814878959464,0.0190792792122069,0.0268670271362546,2870667.484375,87232231.2548828,24.634073549907
"17","P14923","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",22703851.9863281,30669608.2011719,21035503.9257813,16002235.1933594,19307062.28125,14251502.0068359,16339154.1328125,14693701.4658203,0.54042746705586,0.682743771450792,0.562827996788708,0.521314445329815,0.551627731922284,21869677.9560547,15516427.7993164,-0.11343296548543
"18","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",20282550.203125,24341989.84375,17368337.484375,15297964.4882813,19600678.8671875,23111231.5742188,24522017.5078125,13989324.7265625,0.508548346658885,0.512968121370419,0.414614234890446,0.522341428599263,0.510758234014652,18825443.84375,21355955.2207031,-0.848454215350924
"19","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",336348896.036133,401969468.357605,267573067.695068,258940021.819092,18334808.2382813,18808944.4824219,17853253.8242188,6653480.0078125,0.948306595376889,0.955299644876096,0.937450569627958,0.974948634051488,0.951803120126492,301960981.8656,18094031.03125,25.7095227073902
"20","P35658","Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2",1138663.24609375,611432.08984375,3289939.828125,1725272.3671875,793779.6875,895887.427734375,787507.48046875,754348.7890625,0.589235121151126,0.405641990774567,0.806862622403734,0.695780628762128,0.642507874956627,1431967.80664062,790643.583984375,0.94871766390208
"21","P02538","Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",2156963.94921875,1462744.51171875,1661097.1015625,815049.4296875,14181285.265625,6888485.625,7344243.96875,4477886.375,0.13201928314688,0.175153179564211,0.184456878267339,0.153988157000824,0.164570668282517,1561920.80664062,7116364.796875,11.335949320824
"22","P04259","Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",1807138.6328125,1775723.2890625,1536597.109375,773922.837890625,25671631.2929688,10321557.65625,12874368.4570313,9086603.21875,0.0657649027847129,0.146786976105615,0.106626936432143,0.0784869725453869,0.0925569544887647,1656160.19921875,11597963.0566407,16.9850320646062
"23","P08729","Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5",8811257.2578125,6130182.921875,15360640.984375,8549238.1640625,73420141.171875,63014745.3671875,80061678.1328125,61377488.9375,0.107151981190574,0.0886570146728272,0.160975347554807,0.122259950070957,0.114705965630766,8680247.7109375,68217443.2695312,15.0134440868715
"24","P55084","Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",5291051.3046875,6292417.1484375,4756803.94921875,2602789.62890625,8353423.55859375,10144196.1289063,7948017.984375,5447667.671875,0.387779768565977,0.382829299580283,0.374409336398563,0.323309537789073,0.378619317989423,5023927.62695312,8150720.77148438,0.509903869215396
"25","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",20155458.3671875,222722942.660156,20246013.8203125,16390825.3242188,17871406.6484375,21849314.3125,16297859.8046875,13427620.1835938,0.530032080186093,0.910663152955477,0.554019369376924,0.549687451679006,0.551853410527965,20200736.09375,17084633.2265625,1.29497027614081
"26","P11021","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",11223950.6445313,11208940.2539063,7978534.52539063,7517806.78320313,6559102.421875,7234825.14648438,5051196.52539063,4149353.71875,0.631159936520366,0.607736002414608,0.612333017028179,0.644356163776492,0.621746476774272,9593737.38964847,5805149.47363281,0.940872837570304
"27","P68371","Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1",2410483.9375,3938437.59375,2807894.5625,1760161.1875,2669317.625,4169410.5625,1019589.09375,1676561.25,0.474523248170681,0.485756210260798,0.733613730241516,0.512162742121359,0.498959476191078,2609189.25,2172939.4375,-0.477309477571636
"28","Q14157","Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2",6005076.6953125,7212590.76171875,6153548.89453125,6029258.67578125,1954709.96875,4017523.41796875,4029832.89746094,428024.888916016,0.754426839405724,0.64225444606472,0.604273611676836,0.9337144041101,0.698340642735222,6091403.78515625,2986116.69335938,5.68568805338106
"29","P68363","Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1",23033355.2226563,28748542.3671875,20810262.9375,15645659.890625,20599774.03125,25743196.5859375,17324416.578125,16532996.5390625,0.527886851493564,0.527576159606828,0.545704413982904,0.486212341550425,0.527731505550196,21921809.0800781,18962095.3046875,-0.742459341249549
"30","Q01085","Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1",1975940.12109375,2106741.54296875,1839201.90625,1213534.3125,4019971.4375,5525841.75195313,5136813.75585938,4153027.99414063,0.329547909735543,0.276019463078825,0.263646470325422,0.22612880334928,0.269832966702124,1907571.01367188,4644920.875,3.89828484327286
"31","P56945","Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2",7231322.6171875,8980551.03808594,5811491.23876953,5281343.97851563,18118750.3203125,19478186.5839844,11679731.1054688,12954437.4453125,0.285258454088718,0.31556392828617,0.332251864643631,0.289614349709997,0.302589138998084,6521406.92797852,15536593.8828125,2.46913777505846
"32","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",137149035.703125,21653467.328125,20326447.1914063,10544352.6679688,13561013.453125,11960983.3125,14174982.8398438,7905209.3203125,0.910019182336902,0.644171388062357,0.589147962069844,0.571523197931003,0.6166596750661,20989957.2597656,12760998.3828125,2.87500599813451
"33","Q9BUJ2","Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2",481571.15234375,343211.053710938,560921.2109375,447422.4453125,1318898.17675781,1020703.98046875,525822.0703125,908665.984375,0.267469789437655,0.251636681985369,0.516148772773929,0.329936039212137,0.298702914324896,464496.798828125,964684.982421875,1.20749320019613
"34","Q04695","Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",347516.890625,371528.703125,254545.109375,0,6267353.640625,2091363.13671875,1987753.65625,872323.203125,0.0525357055717507,0.150850596487652,0.11351971168037,0,0.0830277086260604,301031,2039558.39648438,19.0472620456425
"35","Q99569","Plakophilin-4 OS=Homo sapiens OX=9606 GN=PKP4 PE=1 SV=2",11050440.8676758,13910160.328125,6789989.72070313,5127380.61962891,3630128.56933594,5093031.30615234,1577755.31445313,1908381.33691406,0.752725629280845,0.731990741125523,0.811447969814526,0.728759820371787,0.742358185203184,8920215.29418946,2769254.953125,7.11630176296816
"36","F8W8I6","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=1",2329787.9375,1877142.48828125,1860197.47460938,722932.900390625,1106995.140625,879068.515625,2140699.6875,794126.854003906,0.677897872673145,0.681059064643768,0.464945085873848,0.476535547328624,0.577216710000884,1868669.98144531,993031.828125,-0.143044842802396
"37","P19474","E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1",15510536.3515625,23854649.078125,13821105.7109375,10776661.7382813,20369215.1015625,27612328.84375,16984900.8984375,10901598.8046875,0.432292190536108,0.463494264503649,0.448649702838518,0.497118378890258,0.456071983671083,14665821.03125,18677058,-0.785270573162407
"38","C9JJX6","Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1",15997897.21875,23491172.515625,10845167.6171875,6041204.921875,9653975.5859375,9112067.5625,4999747.86328125,30267754.5546875,0.623654161259782,0.72051650263393,0.684457271517529,0.166383311694035,0.654055716388656,13421532.4179688,9383021.57421875,-0.510927608115409
"39","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",627121155.195313,727643747.234375,560372388.171875,682950554.347656,15862905.1367188,9567227.453125,10905862.3828125,8393763.65234375,0.975329240465888,0.987022402295109,0.98090971891154,0.987858779722633,0.983966060603325,655035854.771484,10236544.9179688,29.2979196385034
"40","P08238","Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",9844181.828125,15522022.015625,9437340.84375,4020559.3828125,10541996.59375,13639131.140625,9821203.78125,10054190.4296875,0.482885101091919,0.532284232124004,0.490033957784076,0.285657609291341,0.486459529437998,9640761.3359375,10298093.5117188,-0.71045185214133
"41","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",6175249.33886719,6880859.65966797,4713510.13671875,2791969.15820313,8903862.57873535,8430995.17382813,7654593.35644531,5367438.94726563,0.409523410437623,0.449381197411528,0.381102093730372,0.342177903361868,0.395312752083997,5444379.73779297,8042794.26513672,-0.0780546058401703
"42","P06576","ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",5461968.6015625,5551123.796875,5298117.3515625,2795999.453125,10311792.6328125,11546630.171875,7770543.453125,5475244.2734375,0.346269258194393,0.324669766977635,0.405406294550254,0.338038576247711,0.342153917221052,5380042.9765625,9041168.04296875,0.855405456233334
"43","P25705","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",8292435.99609375,8816811.3046875,6128979.55664063,6010490.79296875,12612435.0390625,13396542.9414063,9619479.48242188,9324535.80859375,0.396674821966046,0.396914901145014,0.389179636016343,0.391945247252218,0.394310034609132,7210707.77636719,11115957.2607422,-0.0449133757317304
"44","Q13509","Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2",570428.09375,558450.390625,483411.921875,389467.28125,384972.28125,537473.96875,387821.09375,208473.78125,0.597056593943665,0.509570196015609,0.554859507393912,0.651347274297624,0.575958050668788,520931.15625,386396.6875,-0.0896329875922537
"45","P17302","Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2",5886037.796875,7079708.4765625,5677450.4921875,6031944.43408203,14059629.1992188,19082104.21875,15988641.53125,17527944.28125,0.29510358305028,0.270612306532987,0.26204312646904,0.25602601552853,0.266327716501014,5958991.11547852,16758292.90625,4.04361968645537
"46","Q5D862","Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1",64975.4912109375,187649.84375,48830.578125,56328.3017578125,9061549.61157227,6209708.83251953,9674706.87060547,5549711.42773438,0.00711941187682952,0.0293323937652693,0.00502189438591358,0.0100477885416119,0.00858360020922069,60651.896484375,7635629.2220459,26.6279714477537
"47","P08670","Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",3899922.01171875,2452424.5859375,7448316.23046875,1509552.63671875,11955169.1523438,11456970.4960938,12493017.4960938,8015793.2265625,0.24597285322196,0.176314251732316,0.373511437730333,0.158477461961549,0.211143552477138,3176173.29882812,11706069.8242188,5.8248762742369
"48","P13646","Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",130002,243260.26953125,92365.6328125,72949.578125,1734251.375,3036740.375,4541326.421875,4097627.9609375,0.069734083222459,0.0741647017468848,0.0199334853767552,0.0174914810818739,0.0448337842996071,111183.81640625,3567184.16796875,22.7765024092142
"49","P38646","Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",4195672.4296875,4984850.61230469,3041326.95898438,2611707.265625,4359687.953125,8472391.71875,3840320.75195313,3626469.1640625,0.490414458532512,0.370421405045324,0.441947493788526,0.418665181253271,0.430306337520899,3618499.69433594,4100004.35253907,-0.559406929754702
"50","P07900","Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5",1817980.6484375,2929889.69140625,2016797.953125,1160620.7265625,1363183.5625,1858257.1015625,1797230.34375,379459.859375,0.571482805630375,0.61190473435541,0.528784213472525,0.753610387118795,0.591693769992892,1917389.30078125,1580206.953125,0.736998649153704
"51","Q02383","Semenogelin-2 OS=Homo sapiens OX=9606 GN=SEMG2 PE=1 SV=1",51874.453125,115969.375,85807.09765625,79727.6484375,343040.23828125,1917.48486328125,4612424.73291016,900109.4921875,0.131356098554552,0.983734532707843,0.0182637002069575,0.0813682653289146,0.106362181941733,82767.373046875,621574.865234375,2.47119525477857
"52","P68133","Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",2899056.9375,3499375.6875,3521142.5,1458555.125,2751374.4375,3600187.171875,3317178,1916543.875,0.513068250032503,0.492900162561285,0.514913347509816,0.432151805028534,0.502984206296894,3199216.3125,3034276.21875,-0.848869721264886
"53","P68104","Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1",13675016.5703125,11489074.84375,11953212.84375,9982599.1015625,7730290.1875,7388223.96875,6756065.09375,5055351.671875,0.63886104156491,0.608618582450063,0.638892258893195,0.663827090004538,0.638876650229053,11721143.84375,7072144.53125,1.34853099221026
"54","P04279","Semenogelin-1 OS=Homo sapiens OX=9606 GN=SEMG1 PE=1 SV=2",0,350172.15625,138283.296875,274971.3125,17497.7841796875,0,2675776.28222656,14055.3115234375,0,1,0.0491401453977565,0.951370184075853,0.500255164736805,206627.3046875,15776.5478515625,-0.83466807290597
"55","P04083","Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2",8949206.1796875,11175133.484375,8412657.34375,6543329.984375,3816018.05859375,4820821.4375,3333900.390625,3102727.1171875,0.70106141597184,0.698622466677037,0.716180649172761,0.678342447642684,0.699841941324438,8680931.76171875,3574959.22460938,3.79931558665729
"56","Q7Z794","Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",6996971.9375,6891102.25,4231385.953125,3783409.296875,38955170.078125,22047349.8828125,31662866.796875,22878109.515625,0.152266502291032,0.238129607567586,0.117884776222985,0.141905242663864,0.147085872477448,5561244.1015625,27270488.15625,11.2389080478311
"57","Q9Y230","RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3",965188.4609375,1294711.96875,558510.515625,412913.671875,326614.109375,678733.875,301176.7734375,208065.796875,0.74716406602598,0.65606663230735,0.649667062350152,0.66493932996879,0.66050298113807,761849.48828125,313895.44140625,2.91687819321107
"58","Q5T9A4","ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1",1800397.40625,4325241.328125,2322254.953125,1317869.40625,2579714.72265625,3888428.6171875,1527499.73632813,1279253.77734375,0.411039113443786,0.526590593111596,0.603221540189846,0.507434308305087,0.517012450708342,2061326.1796875,2053607.22949219,-0.794269060513034
"59","P21796","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2",15195200.0390625,17069016.5,12028667.71875,11319738.09375,7750403.0859375,8110327.4375,8328367.46875,6249859.671875,0.662227092322835,0.677897587100307,0.590885048238069,0.644279865979466,0.65325347915115,13611933.8789062,7930365.26171875,1.55212697351979
"60","Q92945","Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4",902343.8671875,1198671.640625,565899.046875,541714.3203125,1411780.57910156,1304112.984375,574395.59765625,1212165.08984375,0.38992884269232,0.478935194283847,0.496274405557371,0.308866343475826,0.434432018488084,734121.45703125,1258139.03710938,-0.423246813228922
"61","P31944","Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2",438891.7890625,314886.25,399016.9765625,369114.3515625,2916727.234375,2271870.28125,3870553.72949219,1310457.859375,0.130793092421111,0.121730145916685,0.0934559945328117,0.219766884185628,0.126261619168898,384065.6640625,2594298.7578125,13.0350980539731
"62","F8W6I7","Helix-destabilizing protein OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2",2284884.04101563,1966686.109375,1833102.46875,601378.296875,2795753.54296875,3274179.6875,3471871.92382813,1620104.9375,0.449723878793921,0.375259773022176,0.345544074880848,0.270710256809205,0.360401923951512,1899894.2890625,3034966.61523438,0.677048919388412
"63","P07355","Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2",7911284.140625,9953372.21875,8171269.6875,6453968.64453125,11556822.7734375,13073556.2421875,9400659.17578125,7453288.30664063,0.406371517043108,0.432249235308771,0.465018368277992,0.464072006952271,0.448160621130521,8041276.9140625,10478740.9746094,-0.666236714764249
"64","Q14677","Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1",245380.05859375,1040790.89013672,114744.609863281,79432.703125,346715.9453125,449155.93359375,57914.6953125,248928.08984375,0.414426135246477,0.698542306047426,0.664572406025043,0.241906783105374,0.53949927063576,180062.334228516,297822.017578125,-0.821545862965237
"65","Q99623","Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2",5835810.8671875,6293065.59375,3797379.0703125,2917561.609375,6470846.98828125,9041262.71484375,4468537.6015625,4540658.875,0.474199489067149,0.410390691206422,0.459402050740867,0.391187363726683,0.434896370973645,4816594.96875,5505752.93164062,-0.593752264134043
"66","P04792","Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2",4279753.65625,6116932.65625,2198478.125,1663441.37304688,4058236.98632813,5378485.703125,3279005.25,4242953.24511719,0.513283576308583,0.532119185663337,0.401366462385657,0.281633971413163,0.45732501934712,3239115.890625,4150595.11572266,-0.577409081180046
"67","Q5T5P2","Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2",7350712.046875,11969219.3085938,4786169.07421875,3354229.09179688,2475899.65234375,3082706.86230469,2779488.6796875,601350.818847656,0.748041366838522,0.795195191146711,0.632617708849913,0.847974043646695,0.771618278992616,6068440.56054688,2627694.16601562,7.09182725102911
"68","Q9Y265","RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1",621077.728515625,332846.25390625,149504.8203125,142549.296875,790057.18359375,627175.5859375,268378.5546875,137216.6875,0.440126399811931,0.346706960292094,0.357766853760334,0.509530482032891,0.398946626786133,241175.537109375,447777.0703125,-0.357763391270323
"69","P35232","Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1",3542314.8125,5128974.3515625,2758330.21875,2643954.8671875,4448062.96875,5722155.34375,3515286.4375,3099283.359375,0.443322569905555,0.472667316268289,0.439671463828134,0.46035960252514,0.451841086215347,3150322.515625,3981674.703125,-0.751153994584218
"70","Q9NVI7","ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2",10437464.8828125,17307434.394043,7025808.87890625,4878624.12109375,9813606.3203125,13876507.8859863,6183820.02539063,4412079.18554688,0.515403100316089,0.555011109199203,0.531870269014209,0.525108160283915,0.528489214649062,8731636.88085938,7998713.17285156,-0.67138364740421
"71","P31943","Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4",4992234.734375,5144098.546875,4589221.6875,2690251.1640625,5643686.875,6930003.5546875,5671003.3828125,4127672.7421875,0.46937490870322,0.426043982699907,0.447282750237001,0.394585096732503,0.436663366468454,4790728.2109375,5657345.12890625,-0.598813550648815
"72","A0A2R8Y6G6","2-phospho-D-glycerate hydro-lyase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1",1577281.109375,2557658.4921875,1378573.484375,1301536.203125,4823224.015625,4143796.7890625,4093288.671875,2323007.53125,0.246430723602459,0.381657175172618,0.251938635332833,0.359089667143837,0.305514151238335,1477927.296875,4118542.73046875,2.30442977427648
"73","P02768","Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2",553891.984375,338859.1484375,440025.6640625,188211.640625,30341464.9414063,30154627.3554688,27317660.28125,20032804.0273438,0.0179280008224405,0.0111125091712321,0.015852390034581,0.00930772438513747,0.0134824496029065,389442.40625,28736143.8183594,26.5460515953252
"74","A0A0G2JIW1","Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1",4171302.5234375,4527380.44921875,2730158.5859375,2338985.17578125,1921992.0078125,2199587.6796875,1349225.6640625,923595.7734375,0.684572607157689,0.673019458760966,0.669257519915536,0.716912534029642,0.678796032959327,3450730.5546875,1635608.8359375,3.20488581781962
"75","P62805","Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2",6939597.21875,3443642.40625,2176711.73632813,1692811.0390625,14079236.375,9177195.265625,6090694.71875,5423608.15625,0.330160909633611,0.272853711915177,0.263288341773872,0.237873991484023,0.268071026844525,2810177.07128907,7633944.9921875,3.78968771344735
"76","P05141","ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7",2850757.4609375,2677881.9453125,1961281.1875,8421529.0625,3314439.0078125,4789288.03125,2892237.03125,3594092.5,0.462395233531867,0.358620729636217,0.404094740990818,0.700881682957048,0.433244987261343,2764319.703125,3454265.75390625,-0.846097409472829
