"Accession","Description","Sample.a.buffer16","Sample.b.buffer16","Sample.c.buffer16","Sample.d.buffer16","Control.a.buffer16","Control.b.buffer16","Control.c.buffer16","Control.d.buffer16","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"11","H0YFD6","Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",1425002.25195313,1996037.63525391,2244373.24902344,2883693.77539063,123266452.84375,144054523.532471,192050013.745117,287266521.921875,0.0114282269852366,0.0136667577261936,0.0115514054921778,0.00993862357972325,0.0114898162387072,2120205.44213867,168052268.638794,26.6176259389213
"12","P02533","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",2330556.39453125,1840062.74609375,2824326.71972656,4720128.42578125,272789949.212891,196039871.345703,316747962.570801,290503091.027344,0.00847103849778755,0.00929888497557384,0.00883783361190909,0.0159883373486844,0.00906835929374146,2577441.55712891,281646520.120117,26.7405402143503
"13","P08727","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",1086990.515625,1207699.30273438,802503.262695313,6684094.75097656,163294796.414063,67001688.4658203,272206143.660156,281022194.197266,0.00661259702749152,0.0177057637114747,0.00293947928661062,0.0232323553837191,0.0121591803694831,1147344.90917969,217750470.037109,26.4972504085822
"14","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",260989.44921875,144019.8125,635674.015625,654397.8828125,3560099.7421875,1021286.1328125,3553024.99804688,5082669.2109375,0.0683023703832204,0.12358970026655,0.151759296514303,0.114064882302911,0.11882729128473,448331.732421875,3556562.37011719,15.3692608961792
"15","P08779","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",811539.53515625,705084.30078125,1312137.79492188,1389829.9609375,61009967.8125,97078478.0742188,47578428.2246094,30849300.5449219,0.0131271392428612,0.00721066285228238,0.0268382614837737,0.0431100324087494,0.0199827003633174,1061838.66503906,54294198.0185547,25.2870678249634
"16","P13647","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",2438833.125,499924.146484375,1931920.828125,3178722.3984375,186210204.175781,124665455.916016,269499366.634766,246272689.539063,0.0129278853467539,0.00399410880416567,0.00711753182981577,0.012742851899487,0.0099301918646514,2185376.9765625,216241446.857422,26.9201770111414
"17","P14923","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",7243792.44921875,4187818.890625,6228135.09765625,6536687.05664063,17492984.4443359,9599366.84326172,23712459.0380859,26722725.0722656,0.292834934817485,0.30374718753023,0.208016416421787,0.196536458050006,0.250425675619636,6382411.07714844,20602721.7412109,5.04049411326876
"18","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",1119603.609375,2773754.83007813,7132251.4375,6894091.39453125,3524233.85546875,9314426.06640625,8477176.3046875,8508133.7109375,0.241094486585928,0.229460069619311,0.456919469137469,0.447603599306143,0.344349042946035,4833923.11230469,8492655.0078125,1.07034390883874
"19","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",29758193.7089844,37934903.2653809,70599091.3203125,122030466.089844,5058219.50390625,18068605.4414063,6264539.11328125,12409602.4296875,0.854717386510295,0.677366546156839,0.918498006431098,0.907694167621726,0.881205777066011,54266997.2928467,9337070.77148438,13.9048009660627
"20","P35658","Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2",509091.87890625,483977.28515625,768825.171875,2419605.4609375,284097,204672.46875,643831.6875,710314.333496094,0.641829320159217,0.702791633063063,0.544240568240436,0.773056697887482,0.67231047661114,638958.525390625,463964.34375,2.45081002402234
"21","P02538","Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",3722853.5,1514964.6953125,4502618.453125,4877523.828125,29936322.8125,31345355.5175781,20928226.0625,18677828.375,0.110604414838798,0.0461031628875668,0.177053438015342,0.207066478397972,0.14382892642707,4112735.9765625,25432274.4375,13.4407049550599
"22","P04259","Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",3999111.09765625,239697.91015625,2618017.8515625,3287894.546875,58782330.0546875,77749932.296875,51035185.34375,34877646.6796875,0.0636989375244209,0.00307345873444903,0.0487951826852199,0.0861482489494132,0.0562470601048204,2952956.19921875,54908757.6992188,22.0368866469585
"23","P08729","Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5",1968039.4609375,1233294.01171875,1966719.2109375,3044474.1875,96124117.3867188,50506864.1796875,130901954,140303135.464844,0.0200631683937177,0.023836301527265,0.0148019782497204,0.0212384021950813,0.0206507852943995,1967379.3359375,113513035.693359,25.599760972516
"24","P55084","Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",0,76207.25,169419.30859375,423877.109375,777831.42578125,147189.4453125,439725.69921875,1246645.453125,0,0.341129710506223,0.278126400809146,0.253739230400248,0.265932815604697,122813.279296875,608778.5625,6.97326491111729
"25","P10809","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",663851.821289063,4052550.88671875,7800335.03515625,7352295.5078125,1092125.46484375,3887020.484375,7494286.89941406,7284428.7734375,0.378052624331527,0.510424391607991,0.510005089928063,0.5023183716886,0.506161730808331,5702423.19726562,5585724.62890625,-0.840878483014543
"26","P11021","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",2007822.44921875,1695730.98876953,4970169.74414063,3801203.34179688,1423625.828125,1475059.74511719,5271407.34570313,5449263.671875,0.585123914725879,0.534797509859921,0.485293397739435,0.410920155293655,0.510045453799678,2904512.89550782,3373233.54541016,-0.815946720064546
"27","P68371","Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1",836100.4375,561968.625,956764.640625,1162820.625,78438.65625,449749.890625,1018589.359375,915854.859375,0.914231489078976,0.555459464585204,0.484350977407088,0.559404598620947,0.557432031603076,896432.5390625,682802.375,1.14346133416703
"28","Q14157","Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2",3244471.25,3823055.1875,4818264.3828125,5613972.61132813,619952.90625,1187617.3125,1355633.734375,3427479.953125,0.839574311415237,0.762982451457364,0.78042499104398,0.6209148996036,0.771703721250672,4320659.78515625,1271625.5234375,6.96774781481942
"29","P68363","Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1",1175818.34960938,2038365.77734375,4211330.0859375,7118905.671875,2961493.88671875,2988588.80078125,5614084.94140625,8202851.0390625,0.284198601034985,0.405487208142636,0.428615999855226,0.464627249092993,0.417051603998931,3124847.93164062,4301336.87109375,-0.120121061190037
"30","Q01085","Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1",567361.2890625,276800.23046875,583811.5234375,1017147.71875,530268.0078125,3072269.61132813,1351652.86914063,2935402.71875,0.516896998538398,0.0826498829657843,0.30163898942095,0.257339592456497,0.279489290938724,575586.40625,2143527.79394531,3.04969959860032
"31","P56945","Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2",436452.953125,155072.671875,75835.9609375,180712.34375,917221.34375,532395.4375,1069262.796875,1638517.88867188,0.322420950248199,0.225570713405138,0.0662265681628811,0.0993345100193414,0.16245261171224,167892.5078125,993242.0703125,9.8268567899557
"32","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",10941801.9570313,3182437.16015625,6259459.296875,13097520.5117188,13997255.9140625,5432471.26171875,12269066.96875,14704873.1640625,0.438741592147859,0.369410445742568,0.337828233456853,0.471093268603274,0.404076018945214,8600630.62695315,13133161.4414062,-0.256934575540471
"33","Q04695","Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",58017.05859375,303295.5703125,427054.4765625,351068.0859375,13743392.3984375,7758799.3984375,7386503.7890625,6692440.640625,0.0042037053370801,0.0376199451244525,0.0546555694658713,0.0498427842665334,0.043731364695493,327181.828125,7572651.59375,23.6273556376075
"34","Q99569","Plakophilin-4 OS=Homo sapiens OX=9606 GN=PKP4 PE=1 SV=2",40117.564453125,190776.875,92924.5971679688,154508.09375,11808.83984375,130017.739746094,264878.117553711,374899.366210938,0.772585065273609,0.594700990074282,0.25970903334328,0.291850994622177,0.443275992348229,123716.345458984,197447.928649902,-0.846729619727832
"35","F8W8I6","Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=1",1576061.94628906,1261132.48828125,3541596.22021484,4068374.20898438,42714.14453125,59520.3603515625,65856.7109375,0,0.973613308984812,0.954931108191543,0.981744263280945,1,0.977678786132878,2558829.08325195,51117.2524414062,29.0957515032409
"36","P19474","E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1",1547757.484375,1193924.5546875,1274411.78125,1938884.84375,0,0,0,58528.5,1,1,1,0.970697852708785,1,1411084.6328125,0,31.0633983602638
"37","C9JJX6","Armadillo repeat protein deleted in velo-cardio-facial syndrome OS=Homo sapiens OX=9606 GN=ARVCF PE=1 SV=1",0,44565.94921875,186335.78125,134698.41796875,8193995.9375,11681306.9375,8310389.9375,9278905.5,0,0.00380065088964314,0.0219303043805223,0.0143089107150171,0.00905478080233012,89632.18359375,8794647.71875,26.8191991904693
"38","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",523023132.03125,492685862.167969,583764868.71875,706984230.402344,25245296.5332031,12725406.8203125,30307487.9453125,37463070.7773438,0.953954495247331,0.974821679687147,0.950645086663797,0.94967666520118,0.952299790955564,553394000.375,27776392.2392578,26.5458766667297
"39","P08238","Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",3123526.8984375,2045839.06640625,3749831.5625,4775673.6875,1982493.046875,2396131.83789063,6042571.9609375,4740594.15625,0.611734174933062,0.460570118644234,0.38293270426663,0.501843134925686,0.48120662678496,3436679.23046875,3568362.99707032,-0.847156988089325
"40","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",1069029.1171875,1668812.07373047,7575836.64648438,5238667.60546875,2680879.09570313,2673657.79980469,10101680.6875,10769732.6484375,0.285081409062926,0.38430020756181,0.428557726933754,0.327244916567503,0.355772562064657,3453739.83959961,6391279.89160157,0.725509751872392
"41","P06576","ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",1523177.5234375,518628.5625,1392781.24609375,2326040.0859375,1322353.8046875,2543586.3359375,4033887.31445313,3864013.60546875,0.535287560668385,0.169363868866496,0.256654931207627,0.375770583244985,0.316212757226306,1457979.38476562,3203799.97070312,1.3582259375591
"42","P25705","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",160387.9609375,1060212.98144531,2499267.546875,2421251.5703125,687877.534179688,1598406.0625,3920240.01171875,6183284.6171875,0.189077549258729,0.398783339741668,0.389323873219722,0.281392455973386,0.335358164596554,1740732.2758789,2759323.03710938,2.0392071689536
"43","Q86YZ3","Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2",33742.70703125,2937.01318359375,2330.42163085938,7450.86279296875,4059078.60205078,5437756.62695313,12978116.34375,13167786.1015625,0.00824436360228443,0.00053982329788375,0.000179533237413266,0.000565520211372779,0.000552671754628264,5193.93798828125,9207936.48535156,27.7697466369659
"44","Q13509","Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2",0,153569.6875,155595.375,120407,0,46478.2421875,0,0,NA,0.767664467909741,1,1,1,136988.34375,0,16.0723366732167
"45","P17302","Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2",0,195770.140625,10595.03125,595189.4375,74851.359375,0,0,0,0,1,1,1,1,103182.5859375,0,6.69224529331155
"46","Q5D862","Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1",130026.741210938,27980.7858886719,291049.5,321056.39453125,11279171.7556152,5426080.578125,20907635.1542969,30260879.0546875,0.0113966586914155,0.0051302660570142,0.0137296018477734,0.0104982366163307,0.0109474476538731,210538.120605469,16093403.4549561,26.7973801504666
"47","P08670","Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",349553.9609375,31682.0014648438,140979.5703125,0,9155548.375,6626143.19140625,8206469.29296875,11267274.5234375,0.0367754021559435,0.00475861119014772,0.0168889408754141,0,0.0108237760327809,86330.7858886719,8681008.83398438,26.2534960286356
"48","P13646","Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",136217.234375,112548.92578125,0,55799.140625,1657361.7109375,2675056.65917969,2915079.94921875,14550554.9492188,0.0759471640381386,0.0403747669284523,0,0.0038201963530241,0.0220974816407382,84174.033203125,2795068.30419922,24.3938388093625
"49","P38646","Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",67803.125,224515.048828125,1252137.48046875,562188.536132813,231706.534179688,422433.235839844,1615007.24609375,946865.634765625,0.226380428550126,0.347037088046925,0.436719314818116,0.372543641556688,0.359790364801807,393351.792480469,684649.435302734,1.01678699548747
"50","P07900","Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5",85714.0703125,64520.1484375,1207431.328125,935066.6484375,624354.3125,230412.53125,1725758.296875,989415.25,0.120712416419664,0.218762290112656,0.411644483477607,0.485879679718831,0.315203386795131,510390.359375,806884.78125,2.23754501843313
"51","Q02383","Semenogelin-2 OS=Homo sapiens OX=9606 GN=SEMG2 PE=1 SV=1",126327.807373047,0,110789.3671875,137804.53527832,66221.142578125,30731.546875,1119426.71484375,3188746.46679688,0.656081517998837,0,0.0900568353850261,0.0414256493263905,0.0657412423557083,118558.587280273,592823.928710938,8.36170839039132
"52","P68133","Actin, alpha skeletal muscle OS=Homo sapiens OX=9606 GN=ACTA1 PE=1 SV=1",0,127362.8203125,427179.28125,425530,0,207207.296875,863851.3125,0,NA,0.380676019075318,0.330882384443881,1,0.380676019075318,276446.41015625,103603.6484375,-0.29726925407036
"53","P68104","Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1",1855741.05664063,2865588.6484375,6171158.8203125,8969843.765625,3850509.296875,2584718.3828125,5566311.203125,7303158.859375,0.325211994159581,0.525766462697844,0.525765672499258,0.55121012220847,0.525766067598551,4518373.734375,4708410.25,-0.84829171502923
"54","P04083","Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2",53123.5859375,1502623.07421875,1816471.625,2138235.78125,574162.998046875,2516351.5546875,4719415.8359375,2973376.546875,0.0846879038924627,0.373882199556876,0.277922720649086,0.418309457758572,0.325902460102981,1659547.34960938,2744864.05078125,3.09558297963513
"55","Q7Z794","Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",817607.60546875,173794.935546875,1768656.859375,1278225.046875,67812997.9453125,30647071.46875,91433446.71875,107069988.609375,0.011913163214971,0.00563887248551343,0.0189765766165616,0.011797379982012,0.0118552715984915,1047916.32617188,79623222.3320312,26.5639645516182
"56","Q9Y230","RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3",0,77365.19921875,51628.85546875,434417.3203125,141343.234375,23543.919921875,0,0,0,0.766681939923936,1,1,0.883340969961968,64497.02734375,11771.9599609375,3.49598681508998
"57","Q5T9A4","ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1",19170.95703125,5979.1728515625,46210.453125,201898.734375,0,0,0,0,1,1,1,1,1,32690.705078125,0,32.0395805976749
"58","P21796","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2",2628623.328125,4194510.6875,6768330.4375,9655126.484375,1906696.96875,2170630.7734375,4446967.5546875,4291050.671875,0.579589346740564,0.658981534541136,0.603490914125935,0.692313483200523,0.631236224333535,5481420.5625,3230840.72265625,1.31202508618328
"59","Q92945","Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4",0,113676.6328125,589569,497518.734375,0,243198.634765625,919978.25390625,419829.42578125,NA,0.318533233148791,0.39056014872961,0.542344505591267,0.39056014872961,305597.68359375,331514.030273438,-0.473613731906895
"60","P31944","Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2",275443.4921875,43422.5703125,521306.90625,572984.96875,15553466.765625,2521564.51806641,15930114.4042969,17753226.0371094,0.0174012921737017,0.0169289625313254,0.0316876515657522,0.0312658720652513,0.0243335821194765,398375.19921875,15741790.5849609,25.077592379248
"61","F8W6I7","Helix-destabilizing protein OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2",639010.62109375,595509.37890625,1912460.58789063,1979276.9921875,736605.8203125,904087.604736328,2940507.79101563,2761335.41601563,0.464526740055905,0.397112947946678,0.394080578848043,0.417515042732152,0.407313995339415,1275735.60449219,1832711.51037598,-0.449184195425764
"62","P07355","Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2",1856544.0859375,4852393.0625,1512376.27929688,3257721.91015625,9412968.54296875,6059921.65234375,13438581.71875,13915545.921875,0.164740406002605,0.444671290125037,0.101155810851348,0.189697263329231,0.177218834665918,2557132.99804688,11425775.1308594,6.53339988189869
"63","Q14677","Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1",2626469.3984375,4242716.203125,8635414.09960938,10631361.5742188,1786695.6640625,1809286.82861328,4880876.28417969,5349152.43359375,0.595144156459364,0.701043304320089,0.638889359018682,0.665270314147676,0.652079836583179,6439065.15136719,3345081.55639649,1.86728953574733
"64","Q99623","Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2",47743.95703125,285425.314453125,514314.421875,2096058.69921875,467892.23046875,645366.60546875,1152960.04296875,2647913.34375,0.0925923319360707,0.306647821434765,0.308476158376959,0.441836225052256,0.307561989905862,399869.868164062,899163.32421875,3.15488686258552
"65","P04792","Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2",929245.15625,233943.2578125,999805.6484375,1455962.84375,5421092.99609375,1120094.87011719,4063228.8046875,3970048.40234375,0.146330027465866,0.172774497990095,0.19747162649079,0.268330229650402,0.185123062240442,964525.40234375,4016638.60351562,8.50811021089078
"66","Q5T5P2","Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2",10581.869140625,148146.27734375,93237.8525390625,282446.45703125,963453.837890625,24866.3854980469,597615.1796875,1965674.0234375,0.0108639437591845,0.856274187740901,0.13496047377626,0.125636708301486,0.130298591038873,120692.064941406,780534.508789062,3.34228674665419
"67","P35232","Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1",18109.498046875,281768.0859375,898788.8046875,937899.9765625,158866.96875,443170.728515625,1486345.98828125,1184471.625,0.102327153291292,0.38867843784866,0.376829354608,0.44191129200561,0.38275389622833,590278.4453125,813821.176757812,1.58209941198107
"68","P31943","Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4",36110.85546875,543666.38671875,1716874.9453125,1658587.84375,672884.3515625,776707.33984375,2347736.81640625,2563136.9296875,0.0509324394729771,0.411751897043686,0.422395802099069,0.392869723338102,0.402310810190894,1101127.11523438,1562222.078125,1.855326166665
"69","A0A2R8Y6G6","2-phospho-D-glycerate hydro-lyase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1",42767.12890625,189277.765625,1656527.5546875,1199130.671875,2641834.046875,2087011.08203125,4772460.1171875,5021047.171875,0.0159305334781448,0.0831519101013421,0.257665380497514,0.192780769617364,0.137966339859353,694204.21875,3707147.08203125,13.2359552017823
"70","P02768","Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2",288600.125,111409.4921875,480688.015625,548555.171875,19942144.9375,15731975.5546875,26583231.7070313,55622234.984375,0.0142654224601423,0.00703192479750246,0.0177612119955631,0.0097658439617653,0.0120156332109538,384644.0703125,23262688.3222656,26.5486567361992
"71","A0A0G2JIW1","Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1",144837.455078125,294883.7890625,912951.7421875,1560724.71484375,216525.16015625,213867.48046875,845016.94140625,721456.30078125,0.400809184381692,0.579622709018885,0.519321959889062,0.68387419935501,0.549472334453973,603917.765625,468990.73046875,-0.511776803587931
"72","P62805","Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2",1387081.4609375,2033151.578125,2751355.453125,3215866.1953125,5059104.6953125,5960268.14453125,6812884.2890625,7661340.03125,0.215178623036295,0.254353161558915,0.287671108973657,0.295651854743661,0.271012135266286,2392253.515625,6386576.21679688,4.34088833734334
"73","Q08188","Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4",307823.05859375,120426.083984375,348496.1796875,849062.09765625,5884868.47265625,1748716.67578125,9050238.12890625,8940344.828125,0.0497074748581278,0.0644285105325371,0.0370790542901986,0.0867327412266592,0.0570679926953324,328159.619140625,7412606.65039062,21.0275410867168
"74","P05141","ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7",127153.4609375,513859.65625,638121.8125,14667397.75,177738.890625,772070.625,926729.84375,1558560.765625,0.417043787047688,0.399601489864986,0.407784220281423,0.90394645936484,0.412414003664555,575990.734375,849400.234375,-0.649313990559268
"75","P12236","ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4",1490714.4296875,2831278.2265625,4064126.015625,6923218.828125,4164224.171875,3204746.703125,4299618.296875,7422482.640625,0.263612840867203,0.469063375241739,0.485921838805017,0.482598835839866,0.475831105540802,3447702.12109375,4231921.234375,-0.530555563212798
"76","P29508","Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2",7410308.46875,5786671.046875,4121727.34375,1707618.015625,12963568.3515625,1216237.42382813,12355020.4433594,7389123.1640625,0.363716171159041,0.826323958264442,0.250154180728228,0.187717555319482,0.306935175943635,4954199.1953125,9872071.80371095,-0.301877262440283
"77","Q96P63","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",23940759.921875,6507049.5,8098986.296875,37200568.046875,9549990.79296875,4048903.78515625,15828094.4882813,20491785.625,0.714846917757027,0.616434094033951,0.338486185155499,0.644809332246229,0.63062171314009,16019873.109375,12689042.640625,-0.0367190006077411
"78","F5GZS6","4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1",704343.080078125,1192489.81054688,2437090.7734375,4609321.640625,474442.2265625,0,616836.4609375,882524.1875,0.597515998978139,1,0.798018612233327,0.83930281090915,0.818660711571238,1814790.29199219,545639.34375,11.2109817354354
